title,type,year,years_ago,years_from_beginning,feet_from_beginning,years_from_today_CALC,years_from_beginning_CALC,feet_from_start_CALC,feet_from_last_CALC,miles_from_start_CALC,reference
"the last common ancestor of humans and chimpanzees, our closest living relative.",point,,6000000,,,"6,000,000.00",0.00,0.0,0.0,0.00,https://en.wikipedia.org/wiki/Chimpanzee%E2%80%93human_last_common_ancestor
"actually, it was somewhere in the range of 10 and 6 million years ago (mya).",info,,,,1.0,"5,998,440.00","1,560.00",1.0,1.0,0.00,
"the time range is pretty large because we don't have direct evidence of the real ""last common ancestor"" of chimps and humans, nor do we expect to find it. that would entail finding the exact bones of that particular individual, which unfortunately doesn't seem very likely.",info,,,,40.0,"5,937,600.00","62,400.00",40.0,39.0,0.01,
"there isn't really a plethora of information about what happened a long time ago. most of it is lost to the wheel of time. as individuals die, their bodies and belongings decay and decompose. something out of the ordinary has to happen for pieces of body, including bone, to persist for so long. those fungi must be hungry!",info,,,,80.0,"5,875,200.00","124,800.00",80.0,40.0,0.02,
but that doesn't mean archeaologists don't know what they're talking about. archeaologists and geologists have been slowly piecing together clues for hundreds of years that has included basically every scientific field and many thousands of research papers.,info,,,,120.0,"5,812,800.00","187,200.00",120.0,40.0,0.02,
"archeaologists have uncovered thousands of fossils from many different parts of the evolutionary path from many species very closely related to us. in fact, some of them very well may have been our real ancestors. it's just really hard to be that specific.",info,,,,160.0,"5,750,400.00","249,600.00",160.0,40.0,0.03,
"for archeaologists, it's like looking at a tree while squinting. you can identify the trunk, the main branches, even a lot of the secondary and tertiary branches. yet, starting at a single leaf and tracking every single branch down to the main trunk proves to be difficult. the fine details may be a bit fuzzy, but the overall structure is pretty apparent.",info,,,,165.0,"5,742,600.00","257,400.00",165.0,5.0,0.03,
"there wasn't a single ""ancestor"", there were actually many. a whole population. probably multiple familial groups all living in close proximity with occasional to frequent mating between them. all a part of the same species, one gene pool.",info,,,,200.0,"5,688,000.00","312,000.00",200.0,35.0,0.04,
"somewhere between 10 and 6 mya, a part of that population stopped mating with the others. one group would eventually become current day humans over the next 6 million years. the other, into current day chimpanzees.",info,,,,240.0,"5,625,600.00","374,400.00",240.0,40.0,0.05,
"they might have separated (consciously or not) due to any number of different causes, such as: food scarcity due to growing populations or a changing climate, simply following the migration of animals they hunted, or maybe there was a struggle for power within the community. we can postulate all we want, but no one knows and we will probably never know. forever lost to time.",info,,,,280.0,"5,563,200.00","436,800.00",280.0,40.0,0.05,
"we're lucky that recent humans have been writing stuff down that they found important for the last 6,000 years. it gives us so much more information to look back on.",info,,,,320.0,"5,500,800.00","499,200.00",320.0,40.0,0.06,
"the human-chimp ancestors lived at least 300,000 mother-child generations ago (assuming 20 year per generation)",info,,,561600,,"5,438,400.00","561,600.00",360.0,40.0,0.07,
that was ~230 generations you just passed since the last note. the same number of generations between you and the egyptians who built the pyramids. not quite 0.1% of those between 6 mya and now.,info,,,566250,,"5,433,750.00","566,250.00",363.0,3.0,0.07,
evolution takes a really long time.,info,,,,400.0,"5,376,000.00","624,000.00",400.0,37.0,0.08,
fingers getting tired?,info,,,,440.0,"5,313,600.00","686,400.00",440.0,40.0,0.08,
congratulations! you've scrolled about 480 feet. a bit over half a mile to go until you reach current day.,info,,,,480.0,"5,251,200.00","748,800.00",480.0,40.0,0.09,
i bet they're tired now haha,info,,,,520.0,"5,188,800.00","811,200.00",520.0,40.0,0.10,
"at this scale, recorded history (the last 6,000 years) occurs in the last 4 feet",info,,,,560.0,"5,126,400.00","873,600.00",560.0,40.0,0.11,
"and the cretaceous–paleogene extinction event that ended the reign of the dinosaurs is 1 million miles the other direction, which would wrap around earth's equator 40 times.",info,,,,600.0,"5,064,000.00","936,000.00",600.0,40.0,0.11,
next stop: bipedalism! (4 mya),info,,,,640.0,"5,001,600.00","998,400.00",640.0,40.0,0.12,
earliest evidence for bipedalism,point,,4000000,,,"4,000,000.00","2,000,000.00",1282.1,642.1,0.24,https://en.wikipedia.org/wiki/Human_skeletal_changes_due_to_bipedalism
next stop: stone tools! (3.4 mya),info,,,,1292.1,"3,984,400.00","2,015,600.00",1292.1,10.0,0.25,
oldest indirect evidence of stone tools (fossilised animal bones with tool marks),point,,3400000,,,"3,400,000.00","2,600,000.00",1666.7,374.6,0.32,https://en.wikipedia.org/wiki/Stone_Age#Beginning_of_the_Stone_Age
oldest evidence of stone tools use,point,,3300000,,,"3,300,000.00","2,700,000.00",1730.8,64.1,0.33,https://en.wikipedia.org/wiki/Stone_Age#Beginning_of_the_Stone_Age
next stop: fire! (1.8 mya),info,,,,1740.8,"3,284,400.00","2,715,600.00",1740.8,10.0,0.33,
oldest evidence of fire control,point,,1800000,,,"1,800,000.00","4,200,000.00",2692.3,951.5,0.51,https://en.wikipedia.org/wiki/Control_of_fire_by_early_humans
next stop: cooking! (1 mya),info,,,,2702.3,"1,784,400.00","4,215,600.00",2702.3,10.0,0.51,
oldest evidence of cooking food,point,,1000000,,,"1,000,000.00","5,000,000.00",3205.1,502.8,0.61,https://en.wikipedia.org/wiki/Cooking#History
next stop: clothing! (170 kya),info,,,,3215.1,"984,400.00","5,015,600.00",3215.1,10.0,0.61,
oldest evidence of clothing,point,,170000,,,"170,000.00","5,830,000.00",3737.2,522.1,0.71,https://en.wikipedia.org/wiki/Clothing#Origin_of_clothing
"toba supervolcano explosion – earth's largest known eruption – human population drops as low as 3,000",point,,75000,,,"75,000.00","5,925,000.00",3798.1,60.9,0.72,
first symbols used in cave paintings - ice age europe,point,,40000,,,"40,000.00","5,960,000.00",3820.5,22.4,0.73,https://en.wikipedia.org/wiki/Proto-writing#Neolithic_Europe
last known neanderthals walked the earth,point,,40000,,,"40,000.00","5,960,000.00",3820.5,0.0,0.73,https://en.wikipedia.org/wiki/Neanderthal
oldest evidence of counting (tally marks),point,,30000,,,"30,000.00","5,970,000.00",3826.9,6.4,0.73,https://en.wikipedia.org/wiki/Prehistoric_numerals#Background
humans migrate to south pacific,point,,30000,,,"30,000.00","5,970,000.00",3826.9,0.0,0.73,
humans migrate to northern asia,point,,25000,,,"25,000.00","5,975,000.00",3830.1,3.2,0.73,
